departement,participation,date
44,27.91,2007_T1_12h
04,41.57,2007_T1_12h
03,35.2,2007_T1_12h
02,28.14,2007_T1_12h
01,31.82,2007_T1_12h
43,36,2007_T1_12h
42,38.6,2007_T1_12h
45,28.57,2007_T1_12h
05,34.34,2007_T1_12h
06,33.04,2007_T1_12h
07,40.06,2007_T1_12h
08,33.6,2007_T1_12h
46,40,2007_T1_12h
47,37.28,2007_T1_12h
48,33,2007_T1_12h
49,33.81,2007_T1_12h
50,27.67,2007_T1_12h
09,31.59,2007_T1_12h
10,32.2,2007_T1_12h
11,35.39,2007_T1_12h
12,39.3,2007_T1_12h
13,30.8,2007_T1_12h
14,32.25,2007_T1_12h
51,26.32,2007_T1_12h
52,35.19,2007_T1_12h
53,29.2,2007_T1_12h
54,33.13,2007_T1_12h
55,35.62,2007_T1_12h
56,27.77,2007_T1_12h
57,31.75,2007_T1_12h
58,28.17,2007_T1_12h
59,28.99,2007_T1_12h
60,32.56,2007_T1_12h
61,27.04,2007_T1_12h
62,25.99,2007_T1_12h
63,32.31,2007_T1_12h
64,32.97,2007_T1_12h
65,28.9,2007_T1_12h
66,35.24,2007_T1_12h
67,28.1,2007_T1_12h
68,29.2,2007_T1_12h
69,32.92,2007_T1_12h
70,36.9,2007_T1_12h
15,42.35,2007_T1_12h
16,32.8,2007_T1_12h
17,33.68,2007_T1_12h
18,32.56,2007_T1_12h
19,38.1,2007_T1_12h
2A,32.75,2007_T1_12h
2B,28.49,2007_T1_12h
21,35.64,2007_T1_12h
22,26.92,2007_T1_12h
23,32.8,2007_T1_12h
71,36.3,2007_T1_12h
72,31.61,2007_T1_12h
73,36.2,2007_T1_12h
74,31.15,2007_T1_12h
75,20,2007_T1_12h
76,32.12,2007_T1_12h
77,25.84,2007_T1_12h
78,25.63,2007_T1_12h
79,32.81,2007_T1_12h
80,34.45,2007_T1_12h
81,36.25,2007_T1_12h
82,30.42,2007_T1_12h
83,36.1,2007_T1_12h
24,39.4,2007_T1_12h
25,36.05,2007_T1_12h
26,29.69,2007_T1_12h
27,34.89,2007_T1_12h
28,25.79,2007_T1_12h
29,29.74,2007_T1_12h
30,35.98,2007_T1_12h
31,38.69,2007_T1_12h
32,39.92,2007_T1_12h
33,37.46,2007_T1_12h
84,31.76,2007_T1_12h
85,38.46,2007_T1_12h
86,28.14,2007_T1_12h
87,36.3,2007_T1_12h
88,36.23,2007_T1_12h
89,32.74,2007_T1_12h
90,30.69,2007_T1_12h
91,25.56,2007_T1_12h
92,24.07,2007_T1_12h
93,19,2007_T1_12h
38,36.15,2007_T1_12h
39,33.95,2007_T1_12h
40,36.94,2007_T1_12h
41,29.79,2007_T1_12h
34,33.36,2007_T1_12h
35,28.02,2007_T1_12h
36,30.16,2007_T1_12h
37,35.03,2007_T1_12h
94,22.48,2007_T1_12h
95,23.2,2007_T1_12h
971,16.94,2007_T1_12h
972,19.13,2007_T1_12h
973,18.68,2007_T1_12h
974,27.91,2007_T1_12h
976,15.75,2007_T1_12h
01,24.1,2002_T1_12h
02,21.3,2002_T1_12h
03,22.7,2002_T1_12h
04,22,2002_T1_12h
05,25.07,2002_T1_12h
06,17.89,2002_T1_12h
07,22.11,2002_T1_12h
08,19.95,2002_T1_12h
09,26.15,2002_T1_12h
10,23.6,2002_T1_12h
11,22.06,2002_T1_12h
12,29.82,2002_T1_12h
13,22.36,2002_T1_12h
14,18.88,2002_T1_12h
15,23.68,2002_T1_12h
16,23.67,2002_T1_12h
17,22.88,2002_T1_12h
18,24.37,2002_T1_12h
19,24.5,2002_T1_12h
2A,23.5,2002_T1_12h
2B,16.96,2002_T1_12h
21,23.49,2002_T1_12h
22,19.88,2002_T1_12h
23,25.47,2002_T1_12h
24,31.4,2002_T1_12h
25,19.5,2002_T1_12h
26,20.12,2002_T1_12h
27,20.34,2002_T1_12h
28,18.69,2002_T1_12h
29,21.53,2002_T1_12h
30,23.61,2002_T1_12h
31,19.82,2002_T1_12h
32,28.45,2002_T1_12h
33,22.93,2002_T1_12h
34,21.08,2002_T1_12h
35,17.9,2002_T1_12h
36,22.26,2002_T1_12h
37,20.53,2002_T1_12h
38,19.42,2002_T1_12h
39,24.09,2002_T1_12h
40,26.44,2002_T1_12h
41,24.96,2002_T1_12h
84,27.41,2002_T1_12h
85,23.46,2002_T1_12h
86,19.13,2002_T1_12h
87,21.11,2002_T1_12h
88,21.31,2002_T1_12h
89,24.84,2002_T1_12h
90,23,2002_T1_12h
91,19.91,2002_T1_12h
92,16.72,2002_T1_12h
42,64,2002_T1_17h
42,27.5,2002_T1_12h
43,25.42,2002_T1_12h
44,19.75,2002_T1_12h
45,23.59,2002_T1_12h
46,25.4,2002_T1_12h
47,22.46,2002_T1_12h
48,25.91,2002_T1_12h
49,19.85,2002_T1_12h
50,23.14,2002_T1_12h
51,19.46,2002_T1_12h
52,26.81,2002_T1_12h
53,21.21,2002_T1_12h
54,21.39,2002_T1_12h
55,23.29,2002_T1_12h
56,20.55,2002_T1_12h
57,18.52,2002_T1_12h
58,25.75,2002_T1_12h
59,18.5,2002_T1_12h
60,23.74,2002_T1_12h
61,25.2,2002_T1_12h
62,20.78,2002_T1_12h
63,24.9,2002_T1_12h
64,20.93,2002_T1_12h
