Code du département,Code du canton,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,JOLY,LE PEN,SARKOZY,MÉLENCHON,POUTOU,ARTHAUD,CHEMINADE,BAYROU,DUPONT-AIGNAN,HOLLANDE
1,1,14828,2631,12197,246,11951,244,2758,2972,1423,142,81,35,1059,286,2951
1,2,11210,1657,9553,265,9288,158,1927,2952,759,83,50,18,1013,211,2117
1,3,10971,2195,8776,165,8611,209,1699,2063,1081,107,56,34,809,159,2394
1,4,12764,1952,10812,254,10558,263,2272,2809,1313,122,52,24,959,224,2520
1,5,8730,2104,6626,112,6514,132,1004,1723,731,60,44,9,593,102,2116
1,6,2854,435,2419,55,2364,73,555,717,267,28,17,5,231,66,405
1,7,6853,905,5948,114,5834,160,1184,1583,611,58,30,13,652,127,1416
1,8,4756,691,4065,61,4004,67,1017,1284,361,39,14,9,359,90,764
1,9,3845,606,3239,60,3179,92,663,860,367,29,26,9,317,74,742
1,10,12910,2041,10869,252,10617,186,2318,3678,822,97,58,36,996,239,2187
1,11,5119,690,4429,98,4331,101,1016,1271,366,40,26,11,418,109,973
1,12,6495,1247,5248,97,5151,176,977,1602,526,77,30,19,590,140,1014
1,13,17720,3647,14073,211,13862,618,1573,4765,1227,136,61,36,1877,263,3306
1,14,17643,3709,13934,235,13699,582,1804,5441,1015,115,48,50,1811,310,2523
1,15,3618,645,2973,74,2899,75,622,814,423,32,28,7,264,53,581
1,16,4049,592,3457,73,3384,81,919,981,347,41,20,10,332,110,543
1,17,14199,2275,11924,259,11665,198,2827,3111,1362,147,67,38,1093,263,2559
1,18,4228,693,3535,77,3458,61,830,1015,333,59,34,13,341,81,691
1,19,14797,2270,12527,216,12311,254,2907,3791,1094,97,50,31,1244,294,2549
1,20,14620,2252,12368,241,12127,218,2801,3588,1115,92,65,25,1177,282,2764
1,21,11821,1665,10156,238,9918,171,2321,2990,781,118,69,25,1104,277,2062
1,22,7809,1354,6455,115,6340,120,1361,1974,713,63,43,11,632,161,1262
1,23,10066,2139,7927,117,7810,149,1590,2324,868,87,34,30,665,157,1906
1,24,5039,736,4303,76,4227,112,978,1161,448,55,18,11,440,95,909
1,25,9589,1260,8329,162,8167,146,1947,2346,811,105,51,18,784,177,1782
1,26,6931,1261,5670,145,5525,95,1355,1549,518,52,47,15,539,161,1194
1,27,9262,1332,7930,187,7743,122,1697,2382,629,95,58,22,794,213,1731
1,28,3715,698,3017,66,2951,55,737,699,384,51,30,8,228,64,695
1,29,4473,790,3683,80,3603,52,905,1070,268,52,28,8,366,92,762
1,30,10485,1550,8935,144,8791,148,2224,3059,612,74,56,15,885,198,1520
1,31,4239,772,3467,68,3399,64,747,792,410,47,20,15,298,81,925
1,32,10724,1750,8974,184,8790,186,2136,3051,651,99,48,23,835,227,1534
1,33,6082,884,5198,114,5084,143,1020,1416,568,58,29,25,582,101,1142
1,34,12396,1866,10530,178,10352,243,2040,3237,971,95,55,21,1087,219,2384
1,35,7040,1013,6027,111,5916,119,1400,1952,492,58,37,16,506,151,1185
1,36,3311,451,2860,61,2799,82,617,645,303,44,18,12,276,61,741
1,37,6808,1591,5217,95,5122,108,689,1524,557,49,31,12,466,75,1611
1,38,7789,1693,6096,109,5987,166,810,1629,695,52,38,17,606,91,1883
1,39,10315,1433,8882,171,8711,188,1657,2679,727,83,45,27,926,216,2163
1,40,14581,2464,12117,213,11904,275,2221,3862,1117,76,45,26,1182,217,2883
1,41,10284,2336,7948,147,7801,117,1560,2255,886,77,40,15,610,138,2103
1,42,16230,1999,14231,273,13958,281,2814,4733,1119,127,48,36,1504,309,2987
1,43,12610,1722,10888,234,10654,178,2041,3373,827,105,49,20,1200,244,2617
2,1,7641,1224,6417,93,6324,96,1557,1383,710,105,55,9,427,134,1848
2,2,2489,430,2059,32,2027,15,614,603,174,27,13,2,147,44,388
2,3,9778,1988,7790,164,7626,64,2126,1620,806,108,76,13,436,139,2238
2,4,8284,1390,6894,123,6771,81,2102,1673,578,91,53,19,456,150,1568
2,5,6065,992,5073,119,4954,51,1494,1410,339,55,42,19,314,104,1126
2,6,6172,955,5217,94,5123,38,1611,1246,632,53,42,16,294,93,1098
2,7,9860,1827,8033,149,7884,130,2250,2142,725,106,51,20,637,181,1642
2,8,20332,4251,16081,297,15784,262,3573,3821,1869,229,134,51,1285,357,4203
2,9,17276,3535,13741,253,13488,139,3690,2958,1605,180,96,34,935,288,3563
