Code du département,Code du canton,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,HOLLANDE,SARKOZY
1,1,14831,2794,12037,894,11143,5411,5732
1,2,11211,1602,9609,629,8980,3631,5349
1,3,10972,2247,8725,559,8166,4234,3932
1,4,12773,2026,10747,723,10024,4814,5210
1,5,8730,2104,6626,310,6316,3440,2876
1,6,2855,449,2406,178,2228,903,1325
1,7,6855,996,5859,386,5473,2534,2939
1,8,4756,709,4047,247,3800,1400,2400
1,9,3846,625,3221,225,2996,1419,1577
1,10,12912,2114,10798,629,10169,3739,6430
1,11,5120,766,4354,314,4040,1733,2307
1,12,6484,1240,5244,315,4929,2007,2922
1,13,17732,3346,14386,627,13759,5953,7806
1,14,17660,3353,14307,703,13604,4779,8825
1,15,3618,712,2906,224,2682,1242,1440
1,16,4049,641,3408,204,3204,1207,1997
1,17,14202,2450,11752,800,10952,4882,6070
1,18,4229,679,3550,270,3280,1419,1861
1,19,14799,2418,12381,724,11657,4563,7094
1,20,14622,2276,12346,699,11647,4862,6785
1,21,11824,1772,10052,735,9317,3614,5703
1,22,7812,1380,6432,383,6049,2504,3545
1,23,10066,2092,7974,453,7521,3358,4163
1,24,5039,835,4204,282,3922,1722,2200
1,25,9590,1348,8242,561,7681,3266,4415
1,26,6934,1230,5704,459,5245,2278,2967
1,27,9261,1405,7856,547,7309,2969,4340
1,28,3714,716,2998,204,2794,1359,1435
1,29,4472,785,3687,234,3453,1422,2031
1,30,10488,1665,8823,505,8318,2763,5555
1,31,4237,778,3459,218,3241,1657,1584
1,32,10727,1916,8811,555,8256,2802,5454
1,33,6079,895,5184,315,4869,2226,2643
1,34,12401,1929,10472,525,9947,4244,5703
1,35,7041,1083,5958,343,5615,2128,3487
1,36,3311,488,2823,197,2626,1380,1246
1,37,6809,1595,5214,239,4975,2626,2349
1,38,7790,1625,6165,293,5872,3195,2677
1,39,10315,1489,8826,505,8321,3635,4686
1,40,14588,2616,11972,590,11382,4890,6492
1,41,10268,2290,7978,384,7594,3575,4019
1,42,16233,2086,14147,737,13410,5176,8234
1,43,12611,1714,10897,589,10308,4372,5936
2,1,7648,1323,6325,427,5898,3307,2591
2,2,2489,400,2089,142,1947,797,1150
2,3,9778,1968,7810,551,7259,4113,3146
2,4,8274,1482,6792,508,6284,3010,3274
2,5,6065,1005,5060,413,4647,2059,2588
2,6,6168,1022,5146,399,4747,2340,2407
2,7,9850,1846,8004,615,7389,3231,4158
2,8,20333,4199,16134,1162,14972,7893,7079
2,9,17278,3649,13629,1041,12588,6719,5869
2,10,6413,1138,5275,414,4861,2107,2754
2,11,8577,1497,7080,518,6562,3445,3117
2,12,4241,605,3636,246,3390,1844,1546
2,13,5618,877,4741,289,4452,2725,1727
2,14,8534,1863,6671,446,6225,3467,2758
2,15,6578,1109,5469,509,4960,2385,2575
2,16,7576,1324,6252,389,5863,3294,2569
2,17,13849,3552,10297,718,9579,5432,4147
2,18,10475,2278,8197,538,7659,4348,3311
2,19,5281,835,4446,278,4168,2368,1800
2,20,6077,877,5200,367,4833,2342,2491
2,21,7243,1256,5987,433,5554,2647,2907
2,22,7363,1482,5881,442,5439,2496,2943
2,23,4789,848,3941,282,3659,1715,1944
2,24,4200,701,3499,261,3238,1523,1715
2,25,6420,1206,5214,375,4839,2643,2196
2,26,5676,1048,4628,267,4361,2249,2112
2,27,3352,481,2871,249,2622,1305,1317
2,28,11844,2573,9271,564,8707,4340,4367
2,29,8562,1449,7113,538,6575,3580,2995
2,30,7367,1361,6006,456,5550,2956,2594
2,31,15217,3485,11732,790,10942,5512,5430
2,32,7517,1212,6305,491,5814,2947,2867
2,33,7477,973,6504,417,6087,2926,3161
2,34,5968,988,4980,328,4652,2315,2337
2,35,7890,1275,6615,443,6172,2963,3209
