Code du département,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,JOLY,LE PEN,SARKOZY,MÉLENCHON,POUTOU,ARTHAUD,CHEMINADE,BAYROU,DUPONT-AIGNAN,HOLLANDE
1,393808,65996,327812,6453,321359,7268,66540,97722,30898,3323,1794,860,32650,7208,73096
2,376068,72928,303140,5196,297944,3455,78452,72090,30360,3860,2490,738,19895,5853,80751
3,256275,45266,211009,5059,205950,3232,37736,49477,27969,2584,1482,457,17814,4068,61131
4,123933,21034,102899,2111,100788,2933,20875,25668,15269,1394,487,283,7483,1845,24551
5,106865,18246,88619,1842,86777,3147,15359,22655,12175,1152,488,212,8559,1782,21248
6,745288,153383,591905,9063,582842,12556,136982,216738,49493,4048,1576,1238,38980,9241,111990
7,243351,38560,204791,4073,200718,5621,40216,47687,28247,2750,1257,521,18373,3890,52156
8,196579,40508,156071,2480,153591,1868,37628,37524,14260,1981,1185,366,11551,2787,44441
9,116370,18502,97868,1820,96048,2742,16125,17979,16197,1396,528,221,6411,1446,33003
10,203590,37939,165651,3466,162185,2294,40740,49196,12860,1632,990,407,13575,3524,36967
11,264288,43641,220647,4299,216348,4516,50234,46801,28456,2724,1116,458,13076,3184,65783
12,218347,32095,186252,4539,181713,4243,25619,46351,22282,2417,969,435,22809,3095,53493
13,1314766,257432,1057334,16711,1040623,21977,243348,286175,139719,8293,3641,2249,66082,14087,255052
14,490547,82498,408049,6617,401432,8569,65126,109745,42396,5385,2641,1008,40562,8227,117773
15,120962,20366,100596,2190,98406,1534,14877,28151,8836,1218,587,240,10980,1630,30353
16,260765,46641,214124,4665,209459,3843,37121,48291,23707,3084,1460,523,18461,4278,68691
17,471947,85478,386469,7728,378741,8378,66076,106431,39313,5392,2161,888,34381,7900,107821
18,230917,45295,185622,4007,181615,2861,35825,45331,25079,2218,1387,433,16048,3825,48608
19,186701,27332,159369,3274,156095,2155,20784,33706,16462,1581,659,277,10824,2577,67070
2A,101682,26173,75509,1294,74215,1658,19081,23623,7191,873,220,163,4069,797,16540
2B,118667,30523,88144,1627,86517,2020,20128,26869,8643,1001,282,174,3981,930,22489
21,354789,60284,294505,5434,289071,6073,54472,82588,27496,3070,1631,694,27086,5640,80321
22,450961,64453,386508,6971,379537,10545,51552,90555,46303,5054,2552,909,40240,6494,125333
23,96875,17218,79657,1907,77750,1369,12651,17280,10117,1156,557,195,6476,1502,26447
24,311933,47286,264647,5833,258814,5525,44035,59347,35489,3533,1480,610,20898,4847,83050
25,359193,61777,297416,6004,291412,6847,55921,83036,31936,3445,1882,750,25639,5364,76592
26,353056,59555,293501,5248,288253,8263,60424,75291,34877,3187,2057,759,25610,5578,72207
27,417830,77270,340560,6085,334475,5544,76104,92910,34572,4584,2189,890,28144,7074,82464
28,297784,56589,241195,4380,236815,3788,49067,69591,21230,2899,1587,622,21842,5307,60882
29,676771,107176,569595,9523,560072,16536,67101,136994,64505,8273,3347,1531,63121,9944,188720
30,513138,87990,425148,7122,418026,8855,106646,103927,55731,4215,1946,948,28893,6087,100778
31,845035,139682,705353,11760,693593,21069,106161,158407,92798,7672,2839,1703,64648,10601,227695
32,143798,20408,123390,2724,120666,2715,19190,29133,14558,1486,646,298,12003,2191,38446
33,1007663,174717,832946,14040,818906,19940,127811,203396,96165,13626,3671,1895,79277,13082,260043
34,746616,133194,613422,10478,602944,15223,134343,152614,80036,6221,2397,1366,41351,8462,160931
35,697043,106972,590071,11045,579026,18367,71727,150685,59901,7066,3876,1377,71491,10601,183935
36,173772,31336,142436,3488,138948,2015,27164,33564,15645,1985,1190,393,12473,3014,41505
37,412904,71358,341546,6291,335255,7488,53586,94680,36657,4303,2272,901,34420,6738,94210
38,821279,142907,678372,12033,666339,20189,126377,166290,82657,6846,3450,1726,60608,12658,185538
39,188252,30917,157335,3242,154093,3691,31458,39808,19338,2028,1084,425,14819,3532,37910
