Code du département,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,HOLLANDE,SARKOZY
1,393866,67279,326587,19513,307074,131333,175741
2,376073,73997,302076,21056,281020,147260,133760
3,256211,45079,211132,14924,196208,111615,84593
4,123895,20314,103581,6639,96942,49498,47444
5,106875,17470,89405,6025,83380,42435,40945
6,745493,146254,599239,30067,569172,203117,366055
7,243351,39421,203930,13975,189955,101526,88429
8,196603,40542,156061,10308,145753,75631,70122
9,116357,18024,98333,6415,91918,59466,32452
10,203585,38410,165175,11413,153762,65549,88213
11,263998,43300,220698,15547,205151,115400,89751
12,218289,31109,187180,12072,175108,95302,79806
13,1314755,250778,1063977,57621,1006356,474704,531652
14,490680,81197,409483,22535,386948,205544,181404
15,120931,19078,101853,6213,95640,49543,46097
16,260728,46131,214597,13849,200748,118100,82648
17,472024,83316,388708,23377,365331,188387,176944
18,231015,45785,185230,13414,171816,92857,78959
19,186621,25469,161152,8886,152266,98764,53502
2A,101674,24675,76999,4373,72626,30791,41835
2B,118641,27471,91170,4848,86322,39357,46965
21,354805,58860,295945,17452,278493,134936,143557
22,451014,62540,388474,20835,367639,217609,150030
23,96857,16141,80716,5540,75176,45870,29306
24,311783,43928,267855,17564,250291,148011,102280
25,359184,60128,299056,19202,279854,134575,145279
26,353114,60130,292984,18589,274395,134959,139436
27,417805,77533,340272,21996,318276,151327,166949
28,297762,55751,242011,14883,227128,105676,121452
29,676503,103877,572626,29355,543271,319789,223482
30,513007,88196,424811,28329,396482,193487,202995
31,845444,145128,700316,38855,661461,388800,272661
32,143775,19903,123872,8044,115828,65606,50222
33,1007800,166661,841139,48639,792500,448634,343866
34,746809,132096,614713,37051,577662,296422,281240
35,697094,108520,588574,30542,558032,310905,247127
36,173772,31070,142702,10443,132259,73616,58643
37,412935,70596,342339,19672,322667,165293,157374
38,821554,147791,673763,37886,635877,331448,304429
39,188216,30754,157462,11137,146325,72321,74004
40,296719,44940,251779,15115,236664,134872,101792
41,243119,42153,200966,13509,187457,89182,98275
42,509732,93595,416137,26994,389143,196522,192621
43,176028,27456,148572,11381,137191,70488,66703
44,935620,150397,785223,40846,744377,419484,324893
45,442970,79862,363108,23148,339960,156289,183671
46,135211,18091,117120,7277,109843,67981,41862
47,240698,38053,202645,14216,188429,96766,91663
48,59885,8378,51507,3480,48027,23991,24036
49,553191,88673,464518,27263,437255,213611,223644
50,375776,62879,312897,18300,294597,147006,147591
51,382133,80808,301325,19009,282316,126156,156160
52,138781,27431,111350,8300,103050,46965,56085
53,221494,35431,186063,11494,174569,81922,92647
54,495452,100447,395005,24448,370557,196628,173929
55,140113,25824,114289,8531,105758,48860,56898
56,555655,85419,470236,27095,443141,229248,213893
57,745761,163291,582470,37821,544649,253281,291368
58,164915,31090,133825,8980,124845,73424,51421
59,1792610,396412,1396198,87043,1309155,692273,616882
60,549097,106084,443013,29580,413433,195701,217732
61,212505,36060,176445,11779,164666,77579,87087
62,1083666,220612,863054,61936,801118,450103,351015
63,449281,72953,376328,24736,351592,212597,138995
64,488982,79868,409114,25776,383338,218964,164374
65,177439,29155,148284,9313,138971,86809,52162
66,329293,58614,270679,18386,252293,127625,124668
67,748128,148400,599728,33826,565902,206891,359011
68,519575,103638,415937,26678,389259,142724,246535
69,1100976,207138,893838,41569,852269,408899,443370
70,180598,29758,150840,12525,138315,68656,69659
71,409846,76591,333255,23261,309994,160751,149243
72,406896,74708,332188,22759,309429,162975,146454
73,298887,52579,246308,15389,230919,108686,122233
74,504553,94000,410553,23003,387550,154622,232928
75,1253919,212870,1041049,33088,1007961,560461,447500
76,876129,165499,710630,43357,667273,366616,300657
77,843992,164253,679739,39016,640723,315576,325147
78,926633,164228,762405,33643,728762,333079,395683
79,270641,42772,227869,13484,214385,122858,91527
80,409366,73189,336177,22754,313423,170529,142894
81,283870,41760,242110,16866,225244,125133,100111
82,175337,26661,148676,9783,138893,71186,67707
83,757310,141483,615827,33977,581850,217384,364466
84,388058,68933,319125,20086,299039,130281,168758
85,488788,73119,415669,24499,391170,173686,217484
86,303613,52472,251141,15410,235731,134754,100977
87,264859,40843,224016,15454,208562,133467,75095
88,285407,51553,233854,19079,214775,105371,109404
89,245241,46892,198349,13617,184732,86610,98122
90,94858,17995,76863,5874,70989,35866,35123
91,767568,140116,627452,32930,594522,317663,276859
92,939121,162051,777070,31126,745944,369128,376816
93,740925,174541,566384,25562,540822,353260,187562
94,767965,150029,617936,27689,590247,333347,256900
95,704950,140400,564550,27489,537061,289520,247541
ZA,298169,112867,185302,13294,172008,123737,48271
ZB,302712,121764,180948,13592,167356,114527,52829
ZC,77089,32988,44101,2391,41710,25880,15830
ZD,578355,156961,421394,21165,400229,286109,114120
ZM,77544,37262,40282,1660,38622,18946,19676
ZN,165338,64168,101170,3159,98011,36239,61772
ZP,186938,76756,110182,10624,99558,46733,52825
ZS,4922,1531,3391,206,3185,2080,1105
ZW,8942,2104,6838,69,6769,3795,2974
ZX,22686,12779,9907,415,9492,3851,5641
ZZ,1078579,623669,454910,9748,445162,209002,236160
